DateTime,,,,,Ident,Secs,TX,RX
20180424184623,,,,,3,74.0-75.0,524288,4194304
20180424184623,,,,,-1,74.0-75.0,2359296,18874368
20180424184624,,,,,6,75.0-76.0,655360,5242880
20180424184624,,,,,4,75.0-76.0,393216,3145728
20180424184624,,,,,7,75.0-76.0,524288,4194304
20180424184624,,,,,5,75.0-76.0,524288,4194304
20180424184625,,,,,3,75.0-76.0,393216,3145728
20180424184625,,,,,-1,75.0-76.0,2490368,19922944
20180424184625,,,,,6,76.0-77.0,786432,6291456
20180424184625,,,,,7,76.0-77.0,655360,5242880
20180424184625,,,,,5,76.0-77.0,393216,3145728
20180424184625,,,,,4,76.0-77.0,524288,4194304
20180424184625,,,,,3,76.0-77.0,262144,2097152
20180424184625,,,,,-1,76.0-77.0,2621440,20971520
20180424184626,,,,,6,77.0-78.0,917504,7340032
20180424184626,,,,,7,77.0-78.0,524288,4194304
20180424184626,,,,,4,77.0-78.0,393216,3145728
20180424184626,,,,,5,77.0-78.0,393216,3145728
20180424184626,,,,,3,77.0-78.0,262144,2097152
20180424184626,,,,,-1,77.0-78.0,2490368,19922944
20180424184627,,,,,7,78.0-79.0,786432,6291456
20180424184627,,,,,3,78.0-79.0,393216,3145728
20180424184627,,,,,6,78.0-79.0,786432,6291456
20180424184627,,,,,4,78.0-79.0,524288,4194304
20180424184627,,,,,5,78.0-79.0,393216,3145728
20180424184627,,,,,-1,78.0-79.0,2883584,23068672
20180424184628,,,,,6,79.0-80.0,524288,4194304
20180424184628,,,,,7,79.0-80.0,786432,6291456
20180424184628,,,,,3,79.0-80.0,524288,4194304
20180424184628,,,,,4,79.0-80.0,393216,3145728
20180424184628,,,,,5,79.0-80.0,393216,3145728
20180424184628,,,,,-1,79.0-80.0,2621440,20971520
20180424184629,,,,,6,80.0-81.0,655360,5242880
20180424184629,,,,,7,80.0-81.0,655360,5242880
20180424184629,,,,,5,80.0-81.0,262144,2097152
20180424184629,,,,,3,80.0-81.0,524288,4194304
20180424184629,,,,,4,80.0-81.0,393216,3145728
20180424184629,,,,,-1,80.0-81.0,2490368,19922944
20180424184630,,,,,5,81.0-82.0,393216,3145728
20180424184630,,,,,6,81.0-82.0,655360,5242880
20180424184630,,,,,7,81.0-82.0,655360,5242880
20180424184630,,,,,4,81.0-82.0,393216,3145728
20180424184630,,,,,3,81.0-82.0,524288,4194304
20180424184630,,,,,-1,81.0-82.0,2621440,20971520
20180424184631,,,,,7,82.0-83.0,524288,4194304
20180424184631,,,,,6,82.0-83.0,393216,3145728
20180424184631,,,,,3,82.0-83.0,524288,4194304
20180424184631,,,,,5,82.0-83.0,393216,3145728
20180424184631,,,,,4,82.0-83.0,524288,4194304
20180424184631,,,,,-1,82.0-83.0,2359296,18874368
20180424184632,,,,,6,83.0-84.0,524288,4194304
20180424184632,,,,,4,83.0-84.0,524288,4194304
20180424184632,,,,,7,83.0-84.0,786432,6291456
20180424184632,,,,,3,83.0-84.0,524288,4194304
20180424184632,,,,,5,83.0-84.0,524288,4194304
20180424184632,,,,,-1,83.0-84.0,2883584,23068672
20180424184633,,,,,7,84.0-85.0,655360,5242880
20180424184633,,,,,4,84.0-85.0,524288,4194304
20180424184633,,,,,6,84.0-85.0,655360,5242880
